Type,Zreal-1,Zimag-1,Zreal-2,Zimag-2,Zreal-3,Zimag-3,Zreal-4,Zimag-4,Zreal-5,Zimag-5,Zreal-6,Zimag-6,Zreal-7,Zimag-7,Zreal-8,Zimag-8,Zreal-9,Zimag-9,Zreal-10,Zimag-10,Zreal-11,Zimag-11,Zreal-12,Zimag-12,Zreal-13,Zimag-13,Zreal-14,Zimag-14,Zreal-15,Zimag-15,Zreal-16,Zimag-16,Zreal-17,Zimag-17,Zreal-18,Zimag-18,Zreal-19,Zimag-19,Zreal-20,Zimag-20
0,7.96,7.63,17.51,10.6,27.15,19.79,47.88,31.4,64.17,37.66,87.65,36.62,100.4,36.8,114.94,24.12,128.33,10.65,144.47,9.5,154.87,13.17,167.17,22.1,177.47,37.57,192.12,51.69,207.3,58.27,219.73,78.14,241.78,95.35,256.61,109.17,274.39,124.62,294.03,140.64
0,4.31,1.84,5.89,5.02,7.59,7.13,9.87,10.19,14.82,15.07,18.54,18.01,21.61,20.01,32.56,25.28,44.17,29.23,59.99,30.27,72.2,28.36,81.89,25.62,87.14,23.16,93.97,21.23,98.26,22.56,102.32,25.33,109.22,36.78,115.94,49.6,120.39,60.08,125.63,73.13
0,0.18,0.18,0.31,0.23,0.38,0.24,0.42,0.21,0.5,0.21,0.55,0.23,0.61,0.23,0.68,0.21,0.85,0.11,0.9,0.16,0.93,0.17,0.97,0.18,1,0.15,1.02,0.14,1.09,0.16,1.21,0.23,1.25,0.2,1.31,0.24,1.4,0.24,1.49,0.28
0,0.81,0.01,0.86,0.06,0.89,0.06,0.91,0.04,0.93,0.04,0.94,0.04,0.97,0.07,1.01,0.1,1.02,0.1,1.04,0.12,1.07,0.17,1.09,0.19,1.12,0.21,1.14,0.24,1.16,0.26,1.18,0.27,1.22,0.32,1.26,0.36,1.29,0.38,1.33,0.43
0,0.81,0.02,0.85,0.07,0.9,0.11,0.95,0.11,0.99,0.09,1.04,0.07,1.09,0.09,1.14,0.13,1.17,0.16,1.2,0.19,1.24,0.23,1.27,0.26,1.29,0.28,1.33,0.32,1.37,0.36,1.4,0.39,1.43,0.43,1.47,0.45,1.51,0.49,1.54,0.53
0,0.9,0.1,0.93,0.1,0.96,0.09,1.01,0.06,1.03,0.06,1.06,0.09,1.09,0.11,1.1,0.13,1.12,0.15,1.13,0.15,1.15,0.17,1.16,0.19,1.18,0.28,1.2,0.23,1.21,0.24,1.23,0.26,1.26,0.29,1.28,0.31,1.3,0.34,1.33,0.36
0,0.79,0.01,0.8,0.01,0.81,0.05,0.82,0.06,0.86,0.09,0.9,0.09,0.93,0.08,0.95,0.07,0.99,0.06,1.02,0.08,1.05,0.1,1.06,0.12,1.09,0.14,1.11,0.16,1.15,0.2,1.19,0.24,1.24,0.29,1.29,0.34,1.33,0.38,1.38,0.44
0,0.81,0.06,0.84,0.09,0.89,0.1,0.93,0.09,0.96,0.08,1.05,0.09,1.08,0.12,1.1,0.14,1.13,0.17,1.15,0.19,1.19,0.23,1.22,0.25,1.25,0.29,1.28,0.32,1.32,0.36,1.35,0.4,1.38,0.43,1.41,0.46,1.45,0.49,1.48,0.53
0,12.3,0.81,12.5,1.15,12.7,1.42,12.91,1.66,13.38,2.2,14.01,2.69,14.73,3.18,15.57,3.52,16.53,3.73,17.49,3.72,18.44,3.5,19.19,3.15,19.78,2.73,20.21,2.32,20.58,1.77,20.91,1.43,21.17,0.85,21.35,0.65,21.96,0.36,22.92,0.48
0,2.36,3.88,10.27,8.73,15.4,21.83,22.87,29.42,34.19,37.26,49.55,43.66,65.21,46.82,80.15,47.37,93.54,44.51,104.69,39.32,114.74,36.03,126.46,33.32,136.6,30.41,150.66,28.29,158.42,30.64,167.22,38.79,182.41,52.16,196.67,67.45,205.76,80.88,217.47,96.73
0,9.92,0.33,10.05,0.35,10.12,0.39,10.21,0.61,10.36,0.69,10.58,0.69,10.83,0.75,11.07,0.78,11.23,0.75,11.46,0.79,11.55,0.72,11.68,0.68,11.79,0.62,11.88,0.56,11.96,0.51,12.04,0.33,12.62,0.18,12.73,0.25,13.05,0.35,13.42,0.12
0,4.53,14.65,20.13,34.47,37.57,46.72,55.66,54.47,74.2,59.87,93.7,62.08,111.16,61.56,128.11,59.44,149.16,59.23,166.25,56.4,181.3,58.97,196.6,57.52,216.08,77.14,228.91,90.74,241.52,104.72,255.55,123.04,264.52,135.3,273.63,148.63,285.84,170.96,298.86,188.44
0,43.57,58.74,107.94,111.94,172.3,142.55,245.25,147.57,297.81,143.05,361.1,129.5,425.47,117.46,489.83,117.46,540.25,125.74,592.82,135.53,657.18,146.82,709.53,159.01,773.04,202.78,820.24,234.9,894.26,312.43,944.68,387.46,1005.83,472.03,1073.41,616.32,1142.06,811.04,1215.01,1080.05
0,2.17,2.78,2.68,2.69,3.06,2.37,3.69,2.21,3.94,2.12,4.92,1.8,5.76,1.61,6.75,1.49,7.78,1.29,8.4,1.06,9.7,0.91,10.99,0.74,13.49,0.55,15.36,0.44,17.67,0.29,20.29,0.14,23.61,0.13,26.59,0.2,30.32,0.22,33.43,0.1
0,23.37,27.92,56.98,79.4,91.31,108.1,141.37,134.64,192.87,148.24,262.95,155.13,324.6,150.55,370.08,130.38,403.12,115.81,446.03,107.81,497.53,113.77,549.02,127.74,600.51,143.88,668.25,167.68,737.82,198.09,805.05,240.93,885.15,298.53,959.67,355.06,1059.65,473.12,1247.16,709.03
0,24.24,48.25,47.84,60.58,76.81,102.01,127.23,117.8,178.72,122.73,230.21,116.32,265.61,101.27,304.23,87.22,334.27,64.28,358.94,33.46,394.13,20.63,457.63,51.21,496.25,86.23,560.62,152.32,600.09,212.4,673.04,297.62,737.41,413.04,827.52,571.66,943.37,797.15,1115.01,1112.02
